"","jpm$text","text_clean"
"13255","GO=>http://www.google.de/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=2&cad=rja&ved=0CDQQFjAB&url=http%3A%2F%2Fwww.bestfollowers.org%2F&ei=jBIhUru6H8aQhQeOqYDAAQ&usg=AFQjCNF-SxG8PKtvDVRb3XHED3NHCY3TYw&sig2=7L24W6xHQ-_noGVLB9aEqQ&bvm=bv.51495398,d.Yms&SBRn&tharwatElnakeeb ƒ # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNeedsOutlander, # UDMundial,New Zealand,Iri","GO=>ü¾Œ³ ¼      Zealand,Iri"
"13256","Oh my lord, the # askjpm session. Will go down as case study in corporate use of social media.","Oh my lord, the  session. Will go down as case study in corporate use of social media."
"13257","Are you less evil or just not as smart as Goldman Sachs? # askJPM","Are you less evil or just not as smart as Goldman Sachs? "
"13258","I'm really hoping Jimmy Lee DOES show up tomorrow! # askJPM","I'm really hoping Jimmy Lee DOES show up tomorrow! "
"13259","@ cbk_chi Are you talking about the bankster cockroaches (because they all are) or do they have the insect companions there too # askJPM"," Are you talking about the bankster cockroaches (because they all are) or do they have the insect companions there too "
"13260","Who did you like doing business with more MF Global or Bernie Madoff? # AskJPM","Who did you like doing business with more MF Global or Bernie Madoff? "
"13261","# AskJPM How do you criminal, greedy rip offs sleep at night? Hopefully the government will deal with you soon and some will be serving time."," How do you criminal, greedy rip offs sleep at night? Hopefully the government will deal with you soon and some will be serving time."
"13262","Are you relieved that credit ratings services are so inept, or would your billables be even higher if you faced competent scrutiny? # AskJPM","Are you relieved that credit ratings services are so inept, or would your billables be even higher if you faced competent scrutiny? "
"13263","GO=>http://www.linklite.info/followcrazy?stdC1SMw8y&PHlindinho1 ƒ ?RT?FOLLOWME?IFOLLOWYOU # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNeedsOutlander, # UDMu https://twitter.com/_TFB_TeamFollow/status/376217886345293824/photo/1pic.twitter.com/Qvy81DKoKM","GO=>ü¾Œ³ ¼ ??FOLLOWME?IFOLLOWYOU      "
"13264","# AskJPM Thoughts about current financial system and what US Pres should do: http://www.youtube.com/watch?v=A3BHujm3cpY ƒ"," Thoughts about current financial system and what US Pres should do: ü¾Œ³ ¼"
"13265","# AskJPM You are aware that everybody hates you, right? You aren't? No. Oh. Ok."," You are aware that everybody hates you, right? You aren't? No. Oh. Ok."
"13266","Does Patrick Bateman still run robo-signings? # AskJPM","Does Patrick Bateman still run robo-signings? "
"13267","# AskJPM, why do you oppose regulation of banks , pay your ececs so much, charge high interest on creditcards, please tell us"," why do you oppose regulation of banks , pay your ececs so much, charge high interest on creditcards, please tell us"
"13268","If you need some hilarity, you might want to check out # AskJPM","If you need some hilarity, you might want to check out "
"13269","For feinschmeckere innen finans, sosiale medier og LOL er # askJPM hashtaggen Î fÀlge i kveld. For en PR-smell. Hva tenkte de?","For feinschmeckere innen finans, sosiale medier og LOL er  hashtaggen ü¾™–Œ¼ fü¾Œ†Œ¼lge i kveld. For en PR-smell. Hva tenkte de?"
"13270","Why would you never agree to launder my drug money but you do it for the big guys? # AskJPM # smallbusiness","Why would you never agree to launder my drug money but you do it for the big guys?  "
"13271","When making hiring decisions, is yo firm accepting of regulator abusers and mad Buddha users? # AskJPM","When making hiring decisions, is yo firm accepting of regulator abusers and mad Buddha users? "
"13272","One reason I'm glad I restarted Twitter: watching the disasters of such things as # AskBG # AskBoris and tonight the epic # AskJPM","One reason I'm glad I restarted Twitter: watching the disasters of such things as   and tonight the epic "
"13273","Oh oh @ SconsetCapital: Have you accepted Jesus Christ as your personal savior? # AskJPMî","Oh oh  Have you accepted Jesus Christ as your personal savior? "
"13274","How many SEC agents does it take to mow Dimon's lawn? # AskJPM","How many SEC agents does it take to mow Dimon's lawn? "
"13275","DID YOU ORDER THE CODE RED??? # AskJPM","DID YOU ORDER THE CODE RED??? "
"13276","Can I have a job please? # AskJPM","Can I have a job please? "
"13277","What would you even DO with all the money. Have you thought this through? I don't think you have. # AskJPM","What would you even DO with all the money. Have you thought this through? I don't think you have. "
"13278","# AskJPM why did teslas funding stop? Oh yeah your a greedy fuck...."," why did teslas funding stop? Oh yeah your a greedy fuck...."
"13279","Jamie Dimon must be praying for a fail Whale now! # AskJPM","Jamie Dimon must be praying for a fail Whale now! "
"13280","Is the # AskJPM program another example of how $ JPM is the best managed bank on the planet?","Is the  program another example of how $ JPM is the best managed bank on the planet?"
"13281","Will you build your next office space in a forest so when you commit crimes, hopefully no one hears them? # AskJPM","Will you build your next office space in a forest so when you commit crimes, hopefully no one hears them? "
"13282","Maybe a half-step late to the party, but @ davidgaffen is winning # AskJPM by my count.","Maybe a half-step late to the party, but  is winning  by my count."
"13283","ñ@stevenperlberg: Is this the media coverage you were hoping for? # AskJPM http://www.businessinsider.com/trolls-take-over-ask-jpm-2013-11 ƒî","ü¾Œ–˜¼ Is this the media coverage you were hoping for?  ü¾Œ³ ¼ü¾™–”¼"
"13284","What happened to J. Corzine after his Waletrade? # askjpm","What happened to J. Corzine after his Waletrade? "
"13285","Have you accepted Jesus Christ as your personal savior? # AskJPM","Have you accepted Jesus Christ as your personal savior? "
"13286","# AskJPM why deposits are termed liabilities by the depositor? B/c your money becomes their money."," why deposits are termed liabilities by the depositor? B/c your money becomes their money."
"13287","Have any questions for J.P. Morgan? # AskJPM http://feedproxy.google.com/~r/Maxkeisercom/~3/8ipLI8OWXPM/ ƒ","Have any questions for J.P. Morgan?  ü¾Œ³ ¼"
"13288","Did you expect us? # AskJPM","Did you expect us? "
"13289","# AskJPM Who are you and where are you going? @ markgongloff"," Who are you and where are you going? "
"13290","# bongbong RT @ Wu_Tang_Finance: UOENO how to diversify yo bonds tho # AskJPM","   UOENO how to diversify yo bonds tho "
"13291","@ stephaniemick Word. See: http://www.theuptake.org/2013/10/29/dead-men-walking-vampires-march-against-jpmorgan-chase/ ƒ and http://www.kare11.com/news/article/1044328/14/Mpls-Vampire-March-demands-foreclosure-aid ƒ # AskJPM"," Word. See: ü¾Œ³ ¼ and ü¾Œ³ ¼ "
"13292","Follow the vile crimes of one of the biggest corrupt world banks at # AskJPM","Follow the vile crimes of one of the biggest corrupt world banks at "
"13293","RT @ JeanineSko: I can't stop reading these # AskJPM tweets ... (Some NSFW)","  I can't stop reading these  tweets ... (Some NSFW)"
"13294","Is there a Scrooge McDuck style money pool somewhere in the office? # AskJPM pic.twitter.com/rAlIeej0Pu","Is there a Scrooge McDuck style money pool somewhere in the office?  pic.twitter.com/rAlIeej0Pu"
"13295","Does Eric Holder take one lump or two? # AskJPM","Does Eric Holder take one lump or two? "
"13296","Did you know 15 minutes could save you 15% or more on car insurance? # AskJPM","Did you know 15 minutes could save you 15% or more on car insurance? "
"13297","@ reformedbroker outdoing himself in his own personal # snarkpocalypse on # askJPM"," outdoing himself in his own personal  on "
"13298","Does Dimon just leave the money on the dresser after he visits Congress? # AskJPM","Does Dimon just leave the money on the dresser after he visits Congress? "
"13299","# AskJPM How did JPMorgan's Latest PR Stunt Blow Up In Its Face? http://feedly.com/k/HYUBE5"," How did JPMorgan's Latest PR Stunt Blow Up In Its Face? "
"13300","They comin for your bacon, bro MT @ ReformedBroker What power grabs are you planning to execute during next crisis you help to cause? # AskJPM","They comin for your bacon, bro MT  What power grabs are you planning to execute during next crisis you help to cause? "
"13301","Where did I leave my keys? # askJPM","Where did I leave my keys? "
"13302","At what point did Jaime Dimon to lie about the London Whale with a empest in a Teapot? # AskJPM","At what point did Jaime Dimon to lie about the London Whale with a empest in a Teapot? "
"13303","# citizenradio maniacs should totally check out the # AskJPM hashtag out! @ ManiacWrangler @ ZJDSumo @ allisonkilkenny"," maniacs should totally check out the  hashtag out!   "
"13304","# AskJPM Have you called Saul Goodman yet?"," Have you called Saul Goodman yet?"
"13305","Is ertical integration another name for complete incoherence? ~ Asking for a friend who wants to start a big bank. # AskJPM","Is ertical integration another name for complete incoherence? ~ Asking for a friend who wants to start a big bank. "
"13306","It's a new ballgame for @ jpmorgan. Maybe you wanted trolls, well you got it. RT @ Wu_Tang_Finance UOENO how to diversify yo bonds tho # AskJPM","It's a new ballgame for  Maybe you wanted trolls, well you got it.   UOENO how to diversify yo bonds tho "
"13307","Did it ever occur to you that the world would be better if you didn't exist? # AskJPM","Did it ever occur to you that the world would be better if you didn't exist? "
"13308","# AskJPM Rob Ford, embattled Toronto mayor, admits he has bought illegal drugs - CBS News http://adf.ly/ZGw9Y"," Rob Ford, embattled Toronto mayor, admits he has bought illegal drugs - CBS News "
"13309","How much wood would a woodchuck chuck if a woodchuck could chuck wood? # AskJPM","How much wood would a woodchuck chuck if a woodchuck could chuck wood? "
"13310","# AskJPM http://makemoneyadf.bugs3.com?cgienpm2bjo14530makemoneyadf.bugs3.com/?cgienpm2bjo14 ƒ # RETWEET THIS! FOLLOW ME AND EVERYONE ELSE THAT RETWEETS THIS TO GAIN 50+ FOLLOWERS"," ü¾Œ³ ¼  THIS! FOLLOW ME AND EVERYONE ELSE THAT RETWEETS THIS TO GAIN 50+ FOLLOWERS"
"13311","Wow what a dumb idea. This is brilliant # askjpm","Wow what a dumb idea. This is brilliant "
"13312","What does Marcellus Wallace look like? # AskJPM","What does Marcellus Wallace look like? "
"13313","# AskJPM why they suddenly put limits on deposit/withD's or transfer of 50k/day. Bank run looming??"," why they suddenly put limits on deposit/withD's or transfer of 50k/day. Bank run looming??"
"13314","What is the average air speed velocity of an unladen swallow? # AskJPM","What is the average air speed velocity of an unladen swallow? "
"13315","If you're looking for a little light entertainment this Thursday morning i suggest you have a look at ---> # askJPM # ausbiz","If you're looking for a little light entertainment this Thursday morning i suggest you have a look at --->  "
"13316","Do you like Huey Lewis and The News? Or was their early work a little too new wave for your tastes? # AskJPM","Do you like Huey Lewis and The News? Or was their early work a little too new wave for your tastes? "
"13317","Death? Or exile? # AskJPM","Death? Or exile? "
"13318","# AskJPM are you worried what people will say when they see the silver manipulation evidence that the CFTC ignored?"," are you worried what people will say when they see the silver manipulation evidence that the CFTC ignored?"
"13319","# AskJPM This poking of the bear has been brought to you by a group of people too disconnected with reality to see what really matters."," This poking of the bear has been brought to you by a group of people too disconnected with reality to see what really matters."
"13320","Is there an income ceiling beyond which it's no longer fun to screw somebody? # AskJPM","Is there an income ceiling beyond which it's no longer fun to screw somebody? "
"13321","RT @ zerohedge How # JPMorgan's Latest PR Stunt Blew Up In Its Face! http://www.zerohedge.com/news/2013-11-13/how-jpmorgans-latest-pr-stunt-blew-its-face ƒ # AskJPM","  How  Latest PR Stunt Blew Up In Its Face! ü¾Œ³ ¼ "
"13322","omfg @ jpmorgan RT @occupyphoenix Do you feel like your all encompassing shenanigans are overlooked b/c @ GoldmanSachs is more hated? # AskJPM","omfg    Do you feel like your all encompassing shenanigans are overlooked b/c  is more hated? "
"13323","Q: When did you stop beating your wife? # AskJPM","Q: When did you stop beating your wife? "
"13324","i know the fact that you just push around enormous amounts of money all day makes you awesomer than me. but *how much* awesomer? # askJPM","i know the fact that you just push around enormous amounts of money all day makes you awesomer than me. but *how much* awesomer? "
"13325","# AskJPM about Bretton Woods, first ask yourself about Bretton Woods."," about Bretton Woods, first ask yourself about Bretton Woods."
"13326","Boy, that escalated quickly. # AskJPM http://25.media.tumblr.com/tumblr_m8l60jLcij1ra5p9wo1_500.gif ƒ","Boy, that escalated quickly.  ü¾Œ³ ¼"
"13327","ñ @ ReformedBroker: What power grabs are you planning to execute during the next financial crisis you help to cause? # AskJPMî","ü¾Œ–˜¼  What power grabs are you planning to execute during the next financial crisis you help to cause? "
"13328","How many times a year do bonds pay interest again? # AskJPM","How many times a year do bonds pay interest again? "
"13329","Remember that one time you onated $4M+ to NYPD and then # ows got removed from the park? We do!! @ OccupyWallSt # AskJPM # ows","Remember that one time you onated $4M+ to NYPD and then  got removed from the park? We do!!   "
"13330","is your thievery department hiring? # AskJPM","is your thievery department hiring? "
"13331","The # AskJPM debacle brings up a variant of a question I've been asking for a while: Does a bank really need to be active on social media?","The  debacle brings up a variant of a question I've been asking for a while: Does a bank really need to be active on social media?"
"13332","# AskJPM how they've gotten fat on our demise. # fractionalreservebanking"," how they've gotten fat on our demise. "
"13333","Could you please back-edit this JPMorgan Shame Tracker for us? https://infogr.am/JPM-Shame-Tracker ƒ # AskJPM","Could you please back-edit this JPMorgan Shame Tracker for us? ü¾Œ³ ¼ "
"13334","GO=>http://www.linklite.info/followcrazy?Kt1gu2yvLU&PHlindinho1 ƒ ?RT?FOLLOWME?IFOLLOWYOU # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNeedsOutlander, # UDMu https://twitter.com/_TFB_TeamFollow/status/376217886345293824/photo/1pic.twitter.com/Qvy81DKoKM","GO=>ü¾Œ³ ¼ ??FOLLOWME?IFOLLOWYOU      "
"13335","Will you use the same types of shitty derivatives for student loans that you did for mortgages, or do you plan to unveil new ones? # AskJPM","Will you use the same types of shitty derivatives for student loans that you did for mortgages, or do you plan to unveil new ones? "
"13336","What is my debit card PIN again? # AskJPM","What is my debit card PIN again? "
"13337","yes yes yes & yes to the # AskJPM tweets","yes yes yes & yes to the  tweets"
"13338","If I don't like eating cake, is a lightly toasted brioche an acceptable substitute? # AskJPM # FrenchhistoryLOLZ","If I don't like eating cake, is a lightly toasted brioche an acceptable substitute?  "
"13339","On this MortgageFraud case I'm filing this week, do I use your NY address for my CrossClaim or is there a better one to use? Thanks! # askJPM","On this MortgageFraud case I'm filing this week, do I use your NY address for my CrossClaim or is there a better one to use? Thanks! "
"13340","How many lives have you destroyed? # AskJPM","How many lives have you destroyed? "
"13341","I can't stop reading these # AskJPM tweets ...","I can't stop reading these  tweets ..."
"13342","# AskJPM how the silver manipulation is going."," how the silver manipulation is going."
"13343","# AskJPM will forever turn banks off social media."," will forever turn banks off social media."
"13344","I'd name him Iksil. RT @ matt_levine: Do you like puppies? If you had a puppy, what would you name him? # AskJPM","I'd name him Iksil.   Do you like puppies? If you had a puppy, what would you name him? "
"13345","Can we live in a world without mortgages, in which all who need housing, have it? # AskJPM","Can we live in a world without mortgages, in which all who need housing, have it? "
"13346","Are you laughing and thinking there's no such thing as bad social media exposure # askJPM","Are you laughing and thinking there's no such thing as bad social media exposure "
"13347","Can I borrow a dollar? # AskJPM","Can I borrow a dollar? "
"13348","ñ @ Wu_Tang_Finance: UOENO how to diversify yo bonds tho # AskJPMî @ KyleSyptak","ü¾Œ–˜¼  UOENO how to diversify yo bonds tho  "
"13349","oh boy, ow not to do twitter PR 101 @ helaineolen RT @ timmyconspiracy: How many puppies have you murdered today? # AskJPM","oh boy, ow not to do twitter PR 101    How many puppies have you murdered today? "
"13350","Trend Alert: # AskJPM. More trends at http://www.trendinalia.com/twitter-trending-topics/usa/newyork-today.html ƒ # trndnlpic.twitter.com/jWW5H2WvYH","Trend Alert:  More trends at ü¾Œ³ ¼ "
"13351","# AskJPM what brand of champagne were you drinking when you ridiculed # OccupyWallStreet from your balcony?"," what brand of champagne were you drinking when you ridiculed  from your balcony?"
"13352","# AskJPM is trending No. 1! Which leads me to ask: Is Dimon a girl's best friend?"," is trending No. 1! Which leads me to ask: Is Dimon a girl's best friend?"
"13353","Q: So who's idea was it to go with # AskJPM and Jimmy Lee instead of Jamie Dimon in a carnival dunking booth on Park Avenue?","Q: So who's idea was it to go with  and Jimmy Lee instead of Jamie Dimon in a carnival dunking booth on Park Avenue?"
"13354","Can we live in a world without fees and debt? # AskJPM # WWJD","Can we live in a world without fees and debt?  "
"13355","# AskJPM How many jailed bankers does it take to change a lightbulb? # careeradvice http://is.gd/6q6chu"," How many jailed bankers does it take to change a lightbulb?  "
"13356","So, how long until the next # AskJPM? I'm thinking never.","So, how long until the next  I'm thinking never."
"13357","# AskJPM # BestHashTagEver"," "
"13358","Is Jamie Dimon 'too big to fail' (if you know what I mean... and I think that you do)? # AskJPM","Is Jamie Dimon 'too big to fail' (if you know what I mean... and I think that you do)? "
"13359","Seriously, seriously, why does any remotely controversial organization think twitter chats are a good idea. # AskJPM","Seriously, seriously, why does any remotely controversial organization think twitter chats are a good idea. "
"13360","Is this turning into another empest in a teacup? # AskJPM","Is this turning into another empest in a teacup? "
"13361","Can we live in a world without fees and debt? # AskJPM","Can we live in a world without fees and debt? "
"13362","How many new media companies do you think are compiling a 'best of' collection of tweets right now? # AskJPM","How many new media companies do you think are compiling a 'best of' collection of tweets right now? "
"13363","As a young sociopath, how can I succeed in finance? # AskJPM","As a young sociopath, how can I succeed in finance? "
"13364","If you could have a superpower, would you want to fly, be invisible or magically avoid prosecution again and again?! # AskJPM","If you could have a superpower, would you want to fly, be invisible or magically avoid prosecution again and again?! "
"13365","The DOJ is hiring. How many? # AskJPM","The DOJ is hiring. How many? "
"13366","Who gets the shown the door for this---> # AskJPM","Who gets the shown the door for this---> "
"13367","# AskJPM One time you thought you were to big to fail. This second time do you really think you are oo big to jail?;;;#;00747613756329984;https://twitter.com/KLinLA/status/400747613756329984"," One time you thought you were to big to fail. This second time do you really think you are oo big to jail?;;;"
"13368","Do you notch your belt or your suspenders every time you score on another regulatory capture? # AskJPM","Do you notch your belt or your suspenders every time you score on another regulatory capture? "
"13369","Okay, I'm beginning to feel just a *tiny* bit bad for Jimmy Lee here, which is saying a lot for me. But I am a banker. # AskJPM","Okay, I'm beginning to feel just a *tiny* bit bad for Jimmy Lee here, which is saying a lot for me. But I am a banker. "
"13370","@ jpmorgan how many jobs did you outsource in favor of your golden toilets and more financial crimes being committed # AskJPM"," how many jobs did you outsource in favor of your golden toilets and more financial crimes being committed "
"13371","If you haven't read the # askJPM tweets, you are really missing out. Social media at its finest/worse/snarkiest.","If you haven't read the  tweets, you are really missing out. Social media at its finest/worse/snarkiest."
"13372","How does it feel to now be considered worse than a vampire squid? # AskJPM","How does it feel to now be considered worse than a vampire squid? "
"13373","So the # AskJPM hashtag is responsible for grinding the productivity of dozens of financial reporters to a complete stop.","So the  hashtag is responsible for grinding the productivity of dozens of financial reporters to a complete stop."
"13374","JPMorgan is asking people to send in questions on twitter using hashtag # AskJPM. Please feel free to hash tag away. via Occupy Miami","JPMorgan is asking people to send in questions on twitter using hashtag  Please feel free to hash tag away. via Occupy Miami"
"13375","GO=>http://www.linklite.info/followcrazy?E3tJk0ojwh&PHlindinho1 ƒ ?RT?FOLLOWME?IFOLLOWYOU # CookieDance, # AskJPM, # MentionATrueFriend, # UKTVNeedsOutlander, # UDMu https://twitter.com/_TFB_TeamFollow/status/376217886345293824/photo/1pic.twitter.com/Qvy81DKoKM","GO=>ü¾Œ³ ¼ ??FOLLOWME?IFOLLOWYOU      "
"13376","UOENO how to diversify yo bonds tho # AskJPM","UOENO how to diversify yo bonds tho "
"13377","KY or Vaseline? # AskJPM","KY or Vaseline? "
"13378","@ alexisgoldstein Stupid Q. # AskJPM doesn't need your human beds. They rest in vats of virgins' tears recharging their contempt."," Stupid Q.  doesn't need your human beds. They rest in vats of virgins' tears recharging their contempt."
"13379","@ pareene maybe that's a question for # AskJPM. How close are you to handing over $9 billion or so for lying about quality of bonds you sold?"," maybe that's a question for  How close are you to handing over $9 billion or so for lying about quality of bonds you sold?"
"13380","@ d_seaman also check out the # AskJPM feed! :)"," also check out the  feed! :)"
"13381","it's making me feel good about humanity RT @ jgreendc: The # AskJPM hashtag is an absolute delight","it's making me feel good about humanity   The  hashtag is an absolute delight"
"13382","Carpe meum? :) RT @ ReformedBroker: What power grabs are you planning to execute during the next financial crisis you help to cause? # AskJPM","Carpe meum? :)   What power grabs are you planning to execute during the next financial crisis you help to cause? "
"13383","# AskJPM why don't you fuck off?"," why don't you fuck off?"
"13384","JP Morgan thought Bernie Madoff was a good bet at $200 million, a month before he got caught. Can we trust its judgment? # AskJPM","JP Morgan thought Bernie Madoff was a good bet at $200 million, a month before he got caught. Can we trust its judgment? "
"13385","Wow... who thought # AskJPM would be a good idea? On the flip side reading the tweets is hilarious.","Wow... who thought  would be a good idea? On the flip side reading the tweets is hilarious."
"13386","Will # AskJPM force @ tomgara to use a hashtag?","Will  force  to use a hashtag?"
"13387","RT: @ shannybasar Are you already imagining the @ BuzzFeed story about the # AskJPM tweets ?",":  Are you already imagining the  story about the  tweets ?"
"13388","Echando un ojo a # AskJPM donde los tuiteros preguntan a JPMorgan","Echando un ojo a  donde los tuiteros preguntan a JPMorgan"
"13389","What power grabs are you planning to execute during the next financial crisis you help to cause? # AskJPM","What power grabs are you planning to execute during the next financial crisis you help to cause? "
"13390","# AskJPM hashtag on twitter made my day"," hashtag on twitter made my day"
"13391","Shallow grave or 55 gallon drum? # AskJPM","Shallow grave or 55 gallon drum? "
"13392","Does Tony Blair still work for, or get paid by, JPMorgan Chase? For what, exactly? http://www.innercitypress.com/unblairchase011008.html ƒ # AskJPM","Does Tony Blair still work for, or get paid by, JPMorgan Chase? For what, exactly? ü¾Œ³ ¼ "
"13393","How are you planning to spend the savings made from firing your social media team? # askJPM","How are you planning to spend the savings made from firing your social media team? "
"13394","Will your social media PR person get fired? ñ @ zerohedge: How JPMorgan's Latest PR Stunt Blew Up In Its Face http://tinyurl.com/pkldg5x î # AskJPM","Will your social media PR person get fired? ü¾Œ–˜¼  How JPMorgan's Latest PR Stunt Blew Up In Its Face ü¾™–”¼ "
"13395","What does the fox say? # AskJPM","What does the fox say? "
"13396","Will Josh (TRB) ever RT me? # AskJPM","Will Josh (TRB) ever  me? "
"13397","Must work. But # AskJPM feed: Too delicious.","Must work. But  feed: Too delicious."
"13398","Do you feel like your all encompassing shenanigans are overlooked because Goldman Sachs is more hated? # AskJPM","Do you feel like your all encompassing shenanigans are overlooked because Goldman Sachs is more hated? "
"13399","Does CEO Jamie Dimon always laugh in front of congress when he loses hundreds of millions of dollars? # AskJPM","Does CEO Jamie Dimon always laugh in front of congress when he loses hundreds of millions of dollars? "
"13400","Loving the amount of # snark brought on by # AskJPM As awful as they are, the questions are making my day.","Loving the amount of  brought on by  As awful as they are, the questions are making my day."
"13401","Did you guys seriously expect to have any non-ironic questions made with this HT? # askJPM","Did you guys seriously expect to have any non-ironic questions made with this HT? "
"13402","You do realize you're not being compensated for your talent, yes? You're just the dumb Ivy legacy kids burning other people's money. # AskJPM","You do realize you're not being compensated for your talent, yes? You're just the dumb Ivy legacy kids burning other people's money. "
"13403","This is getting ugly... RT @ amy10506: Are SEC regulators good in bed or do they just kinda lie there? # AskJPM","This is getting ugly...   Are SEC regulators good in bed or do they just kinda lie there? "
"13404","@ ILLUMlNATI # AskJPM?"," "
"13405","Gawker, BuzzFeed, and Business Insider must've gotten together and asked themselves, hat would be the best viral meme ever?: # AskJPM","Gawker, BuzzFeed, and Business Insider must've gotten together and asked themselves, hat would be the best viral meme ever?: "
"13406","# AskJPM I heard you have sudden openings in your PR department. I would apply if I wasn't so inconveniently burdened by morality."," I heard you have sudden openings in your PR department. I would apply if I wasn't so inconveniently burdened by morality."
"13407","Are you already imagining the @ BuzzFeed story about the # AskJPM tweets ?","Are you already imagining the  story about the  tweets ?"
"13408","Have you been practicing getting a camel through the eye of a needle? # AskJPM","Have you been practicing getting a camel through the eye of a needle? "
"13409","@ kevinroose Securitization. # AskJPM"," Securitization. "
"13410","RT @ ABWashBureau Given the unqualified success of # AskJPM,really looking forward to # AskBofA, # AskCiti and # AskWells. Should be any day now.","  Given the unqualified success of  looking forward to   and  Should be any day now."
"13411","I came here to bitch about Jared Diamond not Jamie Dimon. are they the same guy? # askJPM","I came here to bitch about Jared Diamond not Jamie Dimon. are they the same guy? "
"13412","What is yo opinion of Smith Barney? # AskJPM","What is yo opinion of Smith Barney? "
"13413","Have any questions for J.P. Morgan? # AskJPM http://feedproxy.google.com/~r/Maxkeisercom/~3/8ipLI8OWXPM/ ƒ","Have any questions for J.P. Morgan?  ü¾Œ³ ¼"
"13414","Enjoy catching up with the DOJ team during your settlement negotiations? http://blog.littlesis.org/2013/10/23/jpmorgan-negotiates-through-the-revolving-door/ ƒ # AskJPM pic.twitter.com/ndkwYQujNJ","Enjoy catching up with the DOJ team during your settlement negotiations? ü¾Œ³ ¼  pic.twitter.com/ndkwYQujNJ"
"13415","Must clarify: my @ alexisgoldstein RT is just my fave example of # AskJPM going off the rails...","Must clarify: my   is just my fave example of  going off the rails..."
"13416","Are SEC regulators good in bed or do they just kinda lie there? # AskJPM","Are SEC regulators good in bed or do they just kinda lie there? "
"13417","RT @ ABWashBureau: Given the unqualified success of # AskJPM, I'm really looking forward to # AskBofA, # AskCiti and # AskWells. Should be any...","  Given the unqualified success of  I'm really looking forward to   and  Should be any..."
"13418","How much extra cash do you earn by debiting accounts a day earlier than the actual payment date set on Chase Online BillPay? $1tr? # AskJPM","How much extra cash do you earn by debiting accounts a day earlier than the actual payment date set on Chase Online BillPay? $1tr? "
"13419","I have Mortgage Fraud, Market Manipulation, Credit Card Abuse, Libor Rigging and Predatory Lending AM I DIVERSIFIED? # AskJPM","I have Mortgage Fraud, Market Manipulation, Credit Card Abuse, Libor Rigging and Predatory Lending AM I DIVERSIFIED? "
"13420","Does Jamie Dimon pet a small cat and laugh ominously while he's ruining poor people's lives? # AskJPM","Does Jamie Dimon pet a small cat and laugh ominously while he's ruining poor people's lives? "
"13421","Would you rather live in the descendency of a civilization or evict a cancer riddled woman out of her home? # AskJPM","Would you rather live in the descendency of a civilization or evict a cancer riddled woman out of her home? "
"13422","# AskJPM: Giving reasons why marketing doesn't really work on Twitter since 2013"," Giving reasons why marketing doesn't really work on Twitter since 2013"
"13423","Volg # AskJPM (ja, stel je vragen aan JPMorgan Chase) en je lacht je helemaal slap. Hier voorbeeldje: https://twitter.com/amy10506/status/400736898835947520 ƒ # AEX","Volg  (ja, stel je vragen aan JPMorgan Chase) en je lacht je helemaal slap. Hier voorbeeldje: ü¾Œ³ ¼ "
"13424","@ kevinroose @ taralach How do you say Oy Vey in banking-speak? # AskJPM","  How do you say Oy Vey in banking-speak? "
"13425","ñ @ ObsoleteDogma: What's your favorite type of whale? # AskJPMî looks like this will be as successful as British Gas attempt at social media","ü¾Œ–˜¼  What's your favorite type of whale?  looks like this will be as successful as British Gas attempt at social media"
"13426","Social media malpractice. RT @ rachelsedelman: If you feel like a failure, imagine being the person who came up with # AskJPM","Social media malpractice.   If you feel like a failure, imagine being the person who came up with "
"13427","This was the first 1 I saw cc: @ evanmcmurry @bySamRo RT @ EddyElfenbein: What's the best way to get blood stains out of a clown suit? # AskJPM","This was the first 1 I saw cc:     What's the best way to get blood stains out of a clown suit? "
"13428","RT @ alexisgoldstein # AskJPM when you had to pay $100M to @ CFTC for credit mkt manipulation, were you like, kt making IS manipulation!","   when you had to pay $100M to  for credit mkt manipulation, were you like, kt making IS manipulation!"
"13429","why would @ jpmorgan go with the vice chairman when they could have the narc chairman # askjpm","why would  go with the vice chairman when they could have the narc chairman "
"13430","Body of an eagle, head of a bear # JackDonaghyftw RT @ SconsetCapital: If you could be any kind of animal, what would you be? # AskJPM","Body of an eagle, head of a bear    If you could be any kind of animal, what would you be? "
"13431","Oh, Oh, Oh! I forgot to ask in that last Q. What's it like applying leeches for a living? # AskJPM","Oh, Oh, Oh! I forgot to ask in that last Q. What's it like applying leeches for a living? "
"13432","# AskJPM: When screwing the devil, are you a top or a bottom? Were you playing ust the tip this time?"," When screwing the devil, are you a top or a bottom? Were you playing ust the tip this time?"
"13433","Whale you be my Valentine? # AskJPM","Whale you be my Valentine? "
"13434","You, Anthony of course. RT @ AntDeRosa: Why do teens love @ Circa? # AskJPM","You, Anthony of course.   Why do teens love  "
"13435","To foreclose or not to foreclose, that is the question. # AskJPM # WhyBotherAskingTheAnswerIsAlwaysToForeclose","To foreclose or not to foreclose, that is the question.  "
"13436","Blondes or Brunettes? # AskJPM","Blondes or Brunettes? "
